run,save,mode,metric,value,deltaVsMainVrBalancedMedian,deltaVsOriginal
Current R1,10,DLAA,gpuTailP99Ms,9.5,0.5999999999999996,-0.8000000000000007
Current R2,10,DLAA,gpuTailP99Ms,9.29,0.3899999999999988,-1.0100000000000016
Current interrupted,10,DLAA,gpuTailP99Ms,9.36,0.4599999999999991,-0.9400000000000013
Current R3,10,DLAA,gpuTailP99Ms,9.3,0.40000000000000036,-1.0
Current R1,10,DLAA,cpuSingleSpikeFrequency.frequencyPerSecond,24.6,9.700000000000001,24.6
Current R2,10,DLAA,cpuSingleSpikeFrequency.frequencyPerSecond,24.8,9.9,24.8
Current interrupted,10,DLAA,cpuSingleSpikeFrequency.frequencyPerSecond,22.0,7.1,22.0
Current R3,10,DLAA,cpuSingleSpikeFrequency.frequencyPerSecond,24.4,9.499999999999998,24.4
Current R1,10,DLAA,gpuSingleSpikeFrequency.frequencyPerSecond,0.0,0.0,-0.1
Current R2,10,DLAA,gpuSingleSpikeFrequency.frequencyPerSecond,0.0,0.0,-0.1
Current interrupted,10,DLAA,gpuSingleSpikeFrequency.frequencyPerSecond,0.0,0.0,-0.1
Current R3,10,DLAA,gpuSingleSpikeFrequency.frequencyPerSecond,0.0,0.0,-0.1
Current R1,10,DLAA,cpuSpikeGroups.frequencyPerSecond,24.9,3.5,24.9
Current R2,10,DLAA,cpuSpikeGroups.frequencyPerSecond,25.3,3.900000000000002,25.3
Current interrupted,10,DLAA,cpuSpikeGroups.frequencyPerSecond,24.2,2.8000000000000007,24.2
Current R3,10,DLAA,cpuSpikeGroups.frequencyPerSecond,24.9,3.5,24.9
Current R1,10,DLAA,gpuSpikeGroups.frequencyPerSecond,0.0,0.0,-0.1
Current R2,10,DLAA,gpuSpikeGroups.frequencyPerSecond,0.0,0.0,-0.1
Current interrupted,10,DLAA,gpuSpikeGroups.frequencyPerSecond,0.0,0.0,-0.1
Current R3,10,DLAA,gpuSpikeGroups.frequencyPerSecond,0.0,0.0,-0.1
Current R1,10,DLAA,cpuSpikeGroups.dutyPercent,27.81,-0.9700000000000024,27.81
Current R2,10,DLAA,cpuSpikeGroups.dutyPercent,28.21,-0.5700000000000003,28.21
Current interrupted,10,DLAA,cpuSpikeGroups.dutyPercent,28.06,-0.7200000000000024,28.06
